Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,117.998001,117.998001,108.373001,111.777496,111.777496,188652000
2022-07-18,112.639999,115.400002,106.500000,107.900002,107.900002,196873300
2022-07-25,108.410004,116.709999,104.070000,116.320000,116.320000,212580400
2022-08-01,115.300003,118.779999,113.720001,117.470001,117.470001,115531700
2022-08-08,118.389999,121.680000,115.709999,121.680000,121.680000,112545200
2022-08-15,121.129997,122.430000,116.760002,117.209999,117.209999,101180200
2022-08-22,115.199997,116.720001,110.190002,110.339996,110.339996,109264100
2022-08-29,109.989998,110.949997,107.260002,107.849998,107.849998,129853100
2022-09-05,107.300003,110.989998,105.779999,110.650002,110.650002,95671300
2022-09-12,110.989998,111.620003,100.940002,102.800003,102.800003,164520300
2022-09-19,101.750000,103.330002,97.470001,98.739998,98.739998,146965200
2022-09-26,98.099998,100.699997,95.559998,95.650002,95.650002,153600500
2022-10-03,96.760002,102.930000,96.519997,98.680000,98.680000,128836500
2022-10-10,99.000000,100.690002,94.379997,96.559998,96.559998,126593800
2022-10-17,98.860001,103.470001,97.720001,101.129997,101.129997,134072900
2022-10-24,101.800003,104.820000,91.800003,96.290001,96.290001,260310100
2022-10-31,95.419998,96.029999,83.339996,86.580002,86.580002,248287600
2022-11-07,87.279999,96.930000,86.849998,96.410004,96.410004,180987600
2022-11-14,95.089996,100.139999,94.510002,97.430000,97.430000,155320400
2022-11-21,97.290001,98.760002,94.050003,97.459999,97.459999,73655400
2022-11-28,97.040001,102.250000,94.110001,100.440002,100.440002,140114500
2022-12-05,99.400002,101.379997,92.750000,92.830002,92.830002,140799900
2022-12-12,92.709999,99.529999,89.519997,90.260002,90.260002,196866100
2022-12-19,90.260002,90.559998,86.320000,89.230003,89.230003,128353700
2022-12-26,88.800003,88.940002,85.940002,88.230003,88.230003,86940300
2023-01-02,89.589996,91.050003,84.860001,87.339996,87.339996,131561900
2023-01-09,88.360001,92.190002,85.830002,92.120003,92.120003,142921000
2023-01-16,92.059998,98.300003,90.050003,98.019997,98.019997,161910600
2023-01-23,97.949997,100.320000,93.760002,99.370003,99.370003,179407400
2023-01-30,97.480003,107.849998,96.400002,104.779999,104.779999,227821100
2023-02-06,102.400002,108.180000,93.629997,94.570000,94.570000,350189000
2023-02-13,94.739998,97.680000,92.260002,94.349998,94.349998,231717900
2023-02-20,93.000000,93.099998,88.580002,89.129997,89.129997,142304800
2023-02-27,89.870003,93.730003,89.320000,93.650002,93.650002,156120000
2023-03-06,94.019997,95.970001,90.400002,90.629997,90.629997,159332600
2023-03-13,90.089996,102.839996,89.419998,101.620003,101.620003,250528400
2023-03-20,100.120003,106.589996,99.870003,105.440002,105.440002,189689200
2023-03-27,104.620003,104.760002,99.739998,103.730003,103.730003,161908000
2023-04-03,102.389999,109.169998,101.930000,108.419998,108.419998,126457500
2023-04-10,106.980003,108.940002,104.339996,108.870003,108.870003,129171100
2023-04-17,104.660004,106.540001,103.070000,105.410004,105.410004,138694200
2023-04-24,105.489998,108.370003,102.629997,107.339996,107.339996,209783500
2023-05-01,106.839996,107.989998,103.709999,105.570000,105.570000,129518900
2023-05-08,105.180000,118.029999,105.160004,117.510002,117.510002,245998700
2023-05-15,116.110001,125.970001,116.010002,122.760002,122.760002,191190500
2023-05-22,122.940002,126.430000,119.860001,124.610001,124.610001,181434800
2023-05-29,125.639999,126.150002,122.000000,124.669998,124.669998,130138300
2023-06-05,124.010002,129.039993,121.239998,122.230003,122.230003,164634500
2023-06-12,122.790001,126.110001,121.449997,123.529999,123.529999,161937300
2023-06-19,122.930000,124.570000,118.830002,122.339996,122.339996,118241300
2023-06-26,120.760002,122.000000,116.099998,119.699997,119.699997,154207800
2023-07-03,119.239998,122.610001,118.400002,119.480003,119.480003,88490500
2023-07-10,118.300003,118.309998,116.139999,116.449997,116.449997,35235700
